group	model	modality	gpu	pid	status	smoke_log	train_log	output	note
yolov5s-rgb-bs64	YOLOv5s	RGB	0	545597	running	/dpc/yuanxiangqing/projects/detection/training_logs/yolov5s-rgb-bs64_smoke_20260426_085016.log	/dpc/yuanxiangqing/projects/detection/training_logs/yolov5s-rgb-bs64_20260426_085016.log	/dpc/yuanxiangqing/projects/detection/MutilModel_423/run_yolo_bs64/yolov5s-rgb-bs64	
yolov5s-sonar-bs64	YOLOv5s	Sonar	1	547003	running	/dpc/yuanxiangqing/projects/detection/training_logs/yolov5s-sonar-bs64_smoke_20260426_085016.log	/dpc/yuanxiangqing/projects/detection/training_logs/yolov5s-sonar-bs64_20260426_085016.log	/dpc/yuanxiangqing/projects/detection/MutilModel_423/run_yolo_bs64/yolov5s-sonar-bs64	
yolov8s-rgb-bs64	YOLOv8s	RGB	2	548502	running	/dpc/yuanxiangqing/projects/detection/training_logs/yolov8s-rgb-bs64_smoke_20260426_085016.log	/dpc/yuanxiangqing/projects/detection/training_logs/yolov8s-rgb-bs64_20260426_085016.log	/dpc/yuanxiangqing/projects/detection/MutilModel_423/run_yolo_bs64/yolov8s-rgb-bs64	
yolov8s-sonar-bs64	YOLOv8s	Sonar	3	549937	running	/dpc/yuanxiangqing/projects/detection/training_logs/yolov8s-sonar-bs64_smoke_20260426_085016.log	/dpc/yuanxiangqing/projects/detection/training_logs/yolov8s-sonar-bs64_20260426_085016.log	/dpc/yuanxiangqing/projects/detection/MutilModel_423/run_yolo_bs64/yolov8s-sonar-bs64	
yolov9s-rgb-bs64	YOLOv9s	RGB	4	551451	running	/dpc/yuanxiangqing/projects/detection/training_logs/yolov9s-rgb-bs64_smoke_20260426_085016.log	/dpc/yuanxiangqing/projects/detection/training_logs/yolov9s-rgb-bs64_20260426_085016.log	/dpc/yuanxiangqing/projects/detection/MutilModel_423/run_yolo_bs64/yolov9s-rgb-bs64	
yolov9s-sonar-bs64	YOLOv9s	Sonar	5	552957	running	/dpc/yuanxiangqing/projects/detection/training_logs/yolov9s-sonar-bs64_smoke_20260426_085016.log	/dpc/yuanxiangqing/projects/detection/training_logs/yolov9s-sonar-bs64_20260426_085016.log	/dpc/yuanxiangqing/projects/detection/MutilModel_423/run_yolo_bs64/yolov9s-sonar-bs64	
yolov10s-rgb-bs64	YOLOv10s	RGB	6	554424	running	/dpc/yuanxiangqing/projects/detection/training_logs/yolov10s-rgb-bs64_smoke_20260426_085016.log	/dpc/yuanxiangqing/projects/detection/training_logs/yolov10s-rgb-bs64_20260426_085016.log	/dpc/yuanxiangqing/projects/detection/MutilModel_423/run_yolo_bs64/yolov10s-rgb-bs64	
yolov10s-sonar-bs64	YOLOv10s	Sonar	7	555916	running	/dpc/yuanxiangqing/projects/detection/training_logs/yolov10s-sonar-bs64_smoke_20260426_085016.log	/dpc/yuanxiangqing/projects/detection/training_logs/yolov10s-sonar-bs64_20260426_085016.log	/dpc/yuanxiangqing/projects/detection/MutilModel_423/run_yolo_bs64/yolov10s-sonar-bs64	
